Chromosome	Start	End	Length	Mutations	P_value	Per_site_mutation_probability	Cluster_P_value_Threshold	sample	all_mutations	Dataset_Cluster_ID
ref|NC_001137|	354288	376901	22613	4	0.0006677326449239968	1.697969352895597e-05	0.001	JMT50_CK	205	17
ref|NC_001139|	385163	387491	2328	4	9.898734177115811e-08	1.697969352895597e-05	0.001	JMT50_CK	205	18
ref|NC_001139|	875081	878829	3748	3	4.102382771752715e-05	1.697969352895597e-05	0.001	JMT50_CK	205	19
ref|NC_001142|	301628	303127	1499	3	2.7070418635585738e-06	1.697969352895597e-05	0.001	JMT50_CK	205	20
ref|NC_001142|	579079	588507	9428	3	0.0006070726630256244	1.697969352895597e-05	0.001	JMT50_CK	205	21
ref|NC_001144|	505475	511030	5555	3	0.0001304696144262929	1.697969352895597e-05	0.001	JMT50_CK	205	22
ref|NC_001144|	923648	932673	9025	3	0.0005352381995432767	1.697969352895597e-05	0.001	JMT50_CK	205	23
ref|NC_001145|	881382	882649	1267	4	8.842324501716319e-09	1.697969352895597e-05	0.001	JMT50_CK	205	24
ref|NC_001148|	293840	300181	6341	3	0.00019210884039213056	1.697969352895597e-05	0.001	JMT50_CK	205	25
ref|NC_001148|	644459	653529	9070	3	0.0005429739000117924	1.697969352895597e-05	0.001	JMT50_CK	205	26
ref|NC_001134|	476983	487114	10131	3	0.0009022837538145951	1.8139282355323693e-05	0.001	JMT51_CK	219	27
ref|NC_001136|	135175	136983	1808	3	5.7553409727482864e-06	1.8139282355323693e-05	0.001	JMT51_CK	219	28
ref|NC_001136|	221889	228918	7029	3	0.000314313919563114	1.8139282355323693e-05	0.001	JMT51_CK	219	29
ref|NC_001136|	742183	751273	9090	3	0.0006610031463917071	1.8139282355323693e-05	0.001	JMT51_CK	219	30
ref|NC_001139|	774337	795602	21265	4	0.0006792000798613747	1.8139282355323693e-05	0.001	JMT51_CK	219	31
ref|NC_001143|	142895	150569	7674	3	0.0004054450514757875	1.8139282355323693e-05	0.001	JMT51_CK	219	32
ref|NC_001144|	584635	585781	1146	3	1.481722584877444e-06	1.8139282355323693e-05	0.001	JMT51_CK	219	33
ref|NC_001147|	487604	494812	7208	3	0.0003381173184023006	1.8139282355323693e-05	0.001	JMT51_CK	219	34
ref|NC_001135|	207053	207895	842	3	3.9279521159475135e-07	1.5820104702588245e-05	0.001	JMT52_CK	191	35
ref|NC_001136|	261715	268253	6538	4	4.3974015344047304e-06	1.5820104702588245e-05	0.001	JMT52_CK	191	36
ref|NC_001139|	159007	165657	6650	3	0.00017953822236430446	1.5820104702588245e-05	0.001	JMT52_CK	191	37
ref|NC_001140|	451597	456232	4635	3	6.227991631217383e-05	1.5820104702588245e-05	0.001	JMT52_CK	191	38
ref|NC_001141|	52737	55437	2700	4	1.345423055010574e-07	1.5820104702588245e-05	0.001	JMT52_CK	191	39
ref|NC_001145|	216378	220090	3712	4	4.740722774341277e-07	1.5820104702588245e-05	0.001	JMT52_CK	191	40
ref|NC_001147|	212133	217570	5437	3	9.955837615482425e-05	1.5820104702588245e-05	0.001	JMT52_CK	191	41
ref|NC_001134|	60410	71334	10924	4	2.0182392926353744e-05	1.3997893689724676e-05	0.001	JMT53_CK	169	42
ref|NC_001134|	340977	351423	10446	3	0.0004673949457327301	1.3997893689724676e-05	0.001	JMT53_CK	169	43
ref|NC_001134|	749596	760133	10537	3	0.0004792596975040852	1.3997893689724676e-05	0.001	JMT53_CK	169	44
ref|NC_001139|	305854	306548	694	3	1.530030780524172e-07	1.3997893689724676e-05	0.001	JMT53_CK	169	45
ref|NC_001140|	57343	67457	10114	3	0.000425709842172098	1.3997893689724676e-05	0.001	JMT53_CK	169	46
ref|NC_001140|	323354	341339	17985	4	0.00013703355245281415	1.3997893689724676e-05	0.001	JMT53_CK	169	47
ref|NC_001147|	229094	232840	3746	3	2.3140799669738388e-05	1.3997893689724676e-05	0.001	JMT53_CK	169	48
ref|NC_001147|	837063	839152	2089	3	4.08866137088759e-06	1.3997893689724676e-05	0.001	JMT53_CK	169	49
ref|NC_001136|	1051869	1062375	10506	4	5.352696594909728e-06	1.035347166399754e-05	0.001	JMT54_CK	125	50
ref|NC_001137|	30478	34704	4226	4	1.4780443474139254e-07	1.035347166399754e-05	0.001	JMT54_CK	125	51
ref|NC_001137|	85582	86843	1261	3	3.690331457063459e-07	1.035347166399754e-05	0.001	JMT54_CK	125	52
ref|NC_001142|	237446	241806	4360	3	1.4841468427798944e-05	1.035347166399754e-05	0.001	JMT54_CK	125	53
ref|NC_001142|	651367	661559	10192	3	0.00018107595635385705	1.035347166399754e-05	0.001	JMT54_CK	125	54
ref|NC_001145|	333979	336041	2062	3	1.6006104304387725e-06	1.035347166399754e-05	0.001	JMT54_CK	125	55
ref|NC_001146|	148932	157924	8992	3	0.00012551976391408665	1.035347166399754e-05	0.001	JMT54_CK	125	56
ref|NC_001135|	73947	76141	2194	5	1.1545865116816782e-10	1.2258510450173089e-05	0.001	JMT55_CK	148	57
ref|NC_001142|	637914	638987	1073	3	3.7766255720720106e-07	1.2258510450173089e-05	0.001	JMT55_CK	148	58
ref|NC_001146|	283799	303920	20121	4	0.00012676935749273525	1.2258510450173089e-05	0.001	JMT55_CK	148	59
ref|NC_001134|	249378	269792	20414	11	4.494135927863812e-13	1.8719076768507554e-05	0.001	JMT56_CK	226	60
ref|NC_001135|	208896	221575	12679	5	5.158565401986572e-06	1.8719076768507554e-05	0.001	JMT56_CK	226	61
ref|NC_001136|	1270583	1271114	531	3	1.6430292496288342e-07	1.8719076768507554e-05	0.001	JMT56_CK	226	62
ref|NC_001138|	152658	160630	7972	4	1.8366341808235334e-05	1.8719076768507554e-05	0.001	JMT56_CK	226	63
ref|NC_001139|	218223	222749	4526	3	9.525414427259037e-05	1.8719076768507554e-05	0.001	JMT56_CK	226	64
ref|NC_001139|	611916	641502	29586	6	2.5008423333594333e-05	1.8719076768507554e-05	0.001	JMT56_CK	226	65
ref|NC_001139|	945490	950533	5043	4	3.0746583246164977e-06	1.8719076768507554e-05	0.001	JMT56_CK	226	66
ref|NC_001141|	255265	261231	5966	3	0.00021375413210528388	1.8719076768507554e-05	0.001	JMT56_CK	226	67
ref|NC_001142|	76450	78412	1962	4	7.399149998877342e-08	1.8719076768507554e-05	0.001	JMT56_CK	226	68
ref|NC_001142|	579762	589765	10003	3	0.0009520310204060049	1.8719076768507554e-05	0.001	JMT56_CK	226	69
ref|NC_001144|	417004	424266	7262	3	0.0003785323385918172	1.8719076768507554e-05	0.001	JMT56_CK	226	70
ref|NC_001148|	348668	351699	3031	4	4.1400754211989335e-07	1.8719076768507554e-05	0.001	JMT56_CK	226	71
ref|NC_001148|	646916	653800	6884	4	1.0381159787266878e-05	1.8719076768507554e-05	0.001	JMT56_CK	226	72
