gene_name,gene_id,feature_type,range,strand,repeat_mask,chromosome,start,end,feature_length
YAR023C,id001,three_prime_UTR,chrI:179245-179281,-,none,chrI,179245,179281,36
YAR027W,id003,three_prime_UTR,chrI:184477-184683,+,none,chrI,184477,184683,206
YAR028W,id002,three_prime_UTR,chrI:185596-185936,+,none,chrI,185596,185936,340
YAR029W,id001,three_prime_UTR,chrI:186545-186754,+,none,chrI,186545,186754,209
YAR030C,id001,three_prime_UTR,chrI:186033-186512,-,none,chrI,186033,186512,479
YAR033W,id003,three_prime_UTR,chrI:188811-188923,+,none,chrI,188811,188923,112
YAR035W,id001,three_prime_UTR,chrI:192256-192365,+,none,chrI,192256,192365,109
YAR042W,id002,three_prime_UTR,chrI:196185-196310,+,none,chrI,196185,196310,125
YAR053W,id001,three_prime_UTR,chrI:208663-209632,+,none,chrI,208663,209632,969
YBL001C,id002,three_prime_UTR,chrII:237078-237153,-,none,chrII,237078,237153,75
YBL002W,id001,three_prime_UTR,chrII:236887-237079,+,none,chrII,236887,237079,192
YBL003C,id001,three_prime_UTR,chrII:235221-235394,-,none,chrII,235221,235394,173
YBL005W,id001,three_prime_UTR,chrII:220400-220685,+,none,chrII,220400,220685,285
YBL006C,id001,three_prime_UTR,chrII:216405-216587,-,none,chrII,216405,216587,182
YBL006W-A,id001,three_prime_UTR,chrII:216860-217416,+,none,chrII,216860,217416,556
YBL007C,id001,three_prime_UTR,chrII:212467-212632,-,none,chrII,212467,212632,165
YBL008W,id001,three_prime_UTR,chrII:212175-212255,+,none,chrII,212175,212255,80
YBL009W,id002,three_prime_UTR,chrII:209224-209350,+,none,chrII,209224,209350,126
YBL010C,id001,three_prime_UTR,chrII:205803-206107,-,none,chrII,205803,206107,304
YBL011W,id001,three_prime_UTR,chrII:205817-206022,+,none,chrII,205817,206022,205
YBL014C,id003,three_prime_UTR,chrII:198923-199064,-,none,chrII,198923,199064,141
YBL015W,id001,three_prime_UTR,chrII:195702-195980,+,none,chrII,195702,195980,278
YBL016W,id001,three_prime_UTR,chrII:193512-193647,+,none,chrII,193512,193647,135
YBL018C,id005,three_prime_UTR,chrII:185668-185998,-,none,chrII,185668,185998,330
YBL019W,id002,three_prime_UTR,chrII:185915-186030,+,none,chrII,185915,186030,115
YBL020W,id005,three_prime_UTR,chrII:184125-184205,+,none,chrII,184125,184205,80
YBL021C,id003,three_prime_UTR,chrII:181491-181660,-,none,chrII,181491,181660,169
YBL022C,id006,three_prime_UTR,chrII:177800-177874,-,none,chrII,177800,177874,74
YBL023C,id002,three_prime_UTR,chrII:174754-174920,-,none,chrII,174754,174920,166
YBL024W,id002,three_prime_UTR,chrII:174588-174839,+,none,chrII,174588,174839,251
YBL025W,id001,three_prime_UTR,chrII:171918-172383,+,none,chrII,171918,172383,465
YBL026W,id002,three_prime_UTR,chrII:171038-171471,+,none,chrII,171038,171471,433
YBL027W,id005,three_prime_UTR,chrII:169376-169761,+,none,chrII,169376,169761,385
YBL028C,id002,three_prime_UTR,chrII:167236-167518,-,none,chrII,167236,167518,282
YBL029C-A,id002,three_prime_UTR,chrII:164377-164488,-,none,chrII,164377,164488,111
YBL030C,id009,three_prime_UTR,chrII:162718-163041,-,none,chrII,162718,163041,323
YBL031W,id002,three_prime_UTR,chrII:162715-162884,+,none,chrII,162715,162884,169
YBL032W,id003,three_prime_UTR,chrII:161329-161535,+,none,chrII,161329,161535,206
YBL033C,id001,three_prime_UTR,chrII:158483-158656,-,none,chrII,158483,158656,173
YBL035C,id002,three_prime_UTR,chrII:151447-151493,-,none,chrII,151447,151493,46
YBL036C,id001,three_prime_UTR,chrII:150310-150447,-,none,chrII,150310,150447,137
YBL038W,id001,three_prime_UTR,chrII:146885-147061,+,none,chrII,146885,147061,176
YBL039C,id001,three_prime_UTR,chrII:143726-143989,-,none,chrII,143726,143989,263
YBL039C-A,id001,three_prime_UTR,chrII:143808-144948,-,none,chrII,143808,144948,1140
YBL039W-B,id002,three_prime_UTR,chrII:143572-143715,+,none,chrII,143572,143715,143
YBL040C,id002,three_prime_UTR,chrII:142012-142112,-,none,chrII,142012,142112,100
YBL041W,id001,three_prime_UTR,chrII:141972-142027,+,none,chrII,141972,142027,55
YBL042C,id005,three_prime_UTR,chrII:138180-138341,-,none,chrII,138180,138341,161
YBL043W,id001,three_prime_UTR,chrII:137461-137625,+,none,chrII,137461,137625,164
YBL045C,id003,three_prime_UTR,chrII:133932-134143,-,none,chrII,133932,134143,211
YBL046W,id003,three_prime_UTR,chrII:133749-133932,+,none,chrII,133749,133932,183
YBL047C,id002,three_prime_UTR,chrII:127751-127895,-,none,chrII,127751,127895,144
YBL049W,id001,three_prime_UTR,chrII:127244-127508,+,none,chrII,127244,127508,264
YBL050W,id002,three_prime_UTR,chrII:126119-126208,+,none,chrII,126119,126208,89
YBL051C,id001,three_prime_UTR,chrII:122309-122753,-,none,chrII,122309,122753,444
YBL052C,id001,three_prime_UTR,chrII:119308-119379,-,none,chrII,119308,119379,71
YBL054W,id001,three_prime_UTR,chrII:119166-119288,+,none,chrII,119166,119288,122
YBL055C,id003,three_prime_UTR,chrII:115500-115573,-,none,chrII,115500,115573,73
YBL056W,id001,three_prime_UTR,chrII:115168-115437,+,none,chrII,115168,115437,269
YBL057C,id001,three_prime_UTR,chrII:112277-112801,-,none,chrII,112277,112801,524
YBL058W,id001,three_prime_UTR,chrII:112708-112864,+,none,chrII,112708,112864,156
YBL059C-A,id004,three_prime_UTR,chrII:109917-110125,-,none,chrII,109917,110125,208
YBL060W,id001,three_prime_UTR,chrII:109995-110033,+,none,chrII,109995,110033,38
YBL061C,id002,three_prime_UTR,chrII:105237-105316,-,none,chrII,105237,105316,79
YBL064C,id001,three_prime_UTR,chrII:100306-100371,-,none,chrII,100306,100371,65
YBL068W,id002,three_prime_UTR,chrII:93394-93841,+,none,chrII,93394,93841,447
YBL068W-A,id001,three_prime_UTR,chrII:92030-92111,+,none,chrII,92030,92111,81
YBL069W,id001,three_prime_UTR,chrII:92030-92191,+,none,chrII,92030,92191,161
YBL071C,id001,three_prime_UTR,chrII:89856-90223,-,none,chrII,89856,90223,367
YBL071W-A,id003,three_prime_UTR,chrII:90226-90739,+,none,chrII,90226,90739,513
YBL072C,id001,three_prime_UTR,chrII:88246-88523,-,none,chrII,88246,88523,277
YBL074C,id002,three_prime_UTR,chrII:86438-86722,-,none,chrII,86438,86722,284
YBL075C,id002,three_prime_UTR,chrII:84445-84499,-,none,chrII,84445,84499,54
YBL076C,id002,three_prime_UTR,chrII:80947-81043,-,none,chrII,80947,81043,96
YBL078C,id016,three_prime_UTR,chrII:79897-80378,-,none,chrII,79897,80378,481
YBL080C,id001,three_prime_UTR,chrII:72946-73070,-,none,chrII,72946,73070,124
YBL081W,id002,three_prime_UTR,chrII:72972-73109,+,none,chrII,72972,73109,137
YBL082C,id003,three_prime_UTR,chrII:69715-69751,-,none,chrII,69715,69751,36
YBL083C,id001,three_prime_UTR,chrII:69698-69713,-,none,chrII,69698,69713,15
YBL085W,id002,three_prime_UTR,chrII:66818-66934,+,none,chrII,66818,66934,116
YBL086C,id001,three_prime_UTR,chrII:61142-61202,-,none,chrII,61142,61202,60
YBL087C,id002,three_prime_UTR,chrII:59641-59822,-,none,chrII,59641,59822,181
YBL089W,id004,three_prime_UTR,chrII:50953-51234,+,none,chrII,50953,51234,281
YBL090W,id003,three_prime_UTR,chrII:49358-49577,+,none,chrII,49358,49577,219
YBL091C,id002,three_prime_UTR,chrII:47186-47363,-,none,chrII,47186,47363,177
YBL091C-A,id002,three_prime_UTR,chrII:46355-46565,-,none,chrII,46355,46565,210
YBL092W,id001,three_prime_UTR,chrII:46370-46514,+,none,chrII,46370,46514,144
YBL093C,id001,three_prime_UTR,chrII:43832-44256,-,none,chrII,43832,44256,424
YBL095W,id001,three_prime_UTR,chrII:44089-44207,+,none,chrII,44089,44207,118
YBL096C,id001,three_prime_UTR,chrII:43132-43174,-,none,chrII,43132,43174,42
YBL099W,id002,three_prime_UTR,chrII:38690-38982,+,none,chrII,38690,38982,292
YBL100W-C,id001,three_prime_UTR,chrII:28546-29119,+,none,chrII,28546,29119,573
YBL101C,id001,three_prime_UTR,chrII:24777-24946,-,none,chrII,24777,24946,169
YBL102W,id001,three_prime_UTR,chrII:24745-24938,+,none,chrII,24745,24938,193
YBL103C,id003,three_prime_UTR,chrII:21682-22076,-,none,chrII,21682,22076,394
YBL104C,id001,three_prime_UTR,chrII:18076-18177,-,none,chrII,18076,18177,101
YBL105C,id002,three_prime_UTR,chrII:14104-14241,-,none,chrII,14104,14241,137
YBL107C,id001,three_prime_UTR,chrII:9730-9961,-,none,chrII,9730,9961,231
YBR001C,id003,three_prime_UTR,chrII:238783-238941,-,none,chrII,238783,238941,158
YBR002C,id002,three_prime_UTR,chrII:241456-241708,-,none,chrII,241456,241708,252
YBR003W,id001,three_prime_UTR,chrII:244230-244353,+,none,chrII,244230,244353,123
YBR004C,id002,three_prime_UTR,chrII:244273-244366,-,none,chrII,244273,244366,93
YBR005W,id001,three_prime_UTR,chrII:246547-246698,+,none,chrII,246547,246698,151
YBR006W,id001,three_prime_UTR,chrII:248503-248645,+,none,chrII,248503,248645,142
YBR007C,id002,three_prime_UTR,chrII:248637-248806,-,none,chrII,248637,248806,169
YBR008C,id005,three_prime_UTR,chrII:252403-252563,-,none,chrII,252403,252563,160
YBR009C,id002,three_prime_UTR,chrII:255209-255373,-,none,chrII,255209,255373,164
YBR010W,id008,three_prime_UTR,chrII:256741-256893,+,none,chrII,256741,256893,152
YBR011C,id002,three_prime_UTR,chrII:256892-257112,-,none,chrII,256892,257112,220
YBR012C,id001,three_prime_UTR,chrII:258941-259147,-,none,chrII,258941,259147,206
YBR014C,id008,three_prime_UTR,chrII:266601-266725,-,none,chrII,266601,266725,124
YBR015C,id002,three_prime_UTR,chrII:267569-267710,-,none,chrII,267569,267710,141
YBR016W,id005,three_prime_UTR,chrII:270633-270840,+,none,chrII,270633,270840,207
YBR017C,id001,three_prime_UTR,chrII:270871-270947,-,none,chrII,270871,270947,76
YBR018C,id001,three_prime_UTR,chrII:274272-274427,-,none,chrII,274272,274427,155
YBR019C,id001,three_prime_UTR,chrII:275804-276253,-,none,chrII,275804,276253,449
YBR020W,id001,three_prime_UTR,chrII:280607-281395,+,none,chrII,280607,281395,788
YBR021W,id001,three_prime_UTR,chrII:283344-283471,+,none,chrII,283344,283471,127
YBR022W,id002,three_prime_UTR,chrII:284271-284400,+,none,chrII,284271,284400,129
YBR023C,id003,three_prime_UTR,chrII:284332-284428,-,none,chrII,284332,284428,96
YBR024W,id004,three_prime_UTR,chrII:290350-290455,+,none,chrII,290350,290455,105
YBR025C,id002,three_prime_UTR,chrII:290316-290681,-,none,chrII,290316,290681,365
YBR026C,id006,three_prime_UTR,chrII:292747-292877,-,none,chrII,292747,292877,130
YBR028C,id001,three_prime_UTR,chrII:294249-294425,-,none,chrII,294249,294425,176
YBR029C,id001,three_prime_UTR,chrII:296238-296369,-,none,chrII,296238,296369,131
YBR030W,id003,three_prime_UTR,chrII:299950-300006,+,none,chrII,299950,300006,56
YBR031W,id004,three_prime_UTR,chrII:301254-301435,+,none,chrII,301254,301435,181
YBR032W,id001,three_prime_UTR,chrII:301821-301948,+,none,chrII,301821,301948,127
YBR033W,id001,three_prime_UTR,chrII:304703-304792,+,none,chrII,304703,304792,89
YBR034C,id005,three_prime_UTR,chrII:304651-304930,-,none,chrII,304651,304930,279
YBR035C,id001,three_prime_UTR,chrII:306136-306269,-,none,chrII,306136,306269,133
YBR036C,id003,three_prime_UTR,chrII:308853-309081,-,none,chrII,308853,309081,228
YBR037C,id005,three_prime_UTR,chrII:310492-310565,-,none,chrII,310492,310565,73
YBR038W,id001,three_prime_UTR,chrII:314789-314975,+,none,chrII,314789,314975,186
YBR039W,id002,three_prime_UTR,chrII:316510-316719,+,none,chrII,316510,316719,209
YBR041W,id001,three_prime_UTR,chrII:320275-320417,+,none,chrII,320275,320417,142
YBR042C,id001,three_prime_UTR,chrII:320288-320416,-,none,chrII,320288,320416,128
YBR043C,id002,three_prime_UTR,chrII:321731-321876,-,none,chrII,321731,321876,145
YBR044C,id001,three_prime_UTR,chrII:324265-324341,-,none,chrII,324265,324341,76
YBR046C,id002,three_prime_UTR,chrII:330236-330507,-,none,chrII,330236,330507,271
YBR047W,id002,three_prime_UTR,chrII:332360-332464,+,none,chrII,332360,332464,104
YBR048W,id005,three_prime_UTR,chrII:333812-334238,+,none,chrII,333812,334238,426
YBR049C,id003,three_prime_UTR,chrII:334140-334386,-,none,chrII,334140,334386,246
YBR050C,id001,three_prime_UTR,chrII:337145-337183,-,none,chrII,337145,337183,38
YBR052C,id004,three_prime_UTR,chrII:338532-338720,-,none,chrII,338532,338720,188
YBR053C,id002,three_prime_UTR,chrII:339433-339675,-,none,chrII,339433,339675,242
YBR054W,id008,three_prime_UTR,chrII:344135-344493,+,none,chrII,344135,344493,358
YBR055C,id002,three_prime_UTR,chrII:344511-344602,-,none,chrII,344511,344602,91
YBR056C-B,id001,three_prime_UTR,chrII:351178-351293,-,none,chrII,351178,351293,115
YBR056W,id008,three_prime_UTR,chrII:349384-349433,+,none,chrII,349384,349433,49
YBR056W-A,id003,three_prime_UTR,chrII:351455-351881,+,none,chrII,351455,351881,426
YBR057C,id002,three_prime_UTR,chrII:352055-352193,-,none,chrII,352055,352193,138
YBR058C,id002,three_prime_UTR,chrII:353656-353672,-,none,chrII,353656,353672,16
YBR058C-A,id007,three_prime_UTR,chrII:356079-356324,-,none,chrII,356079,356324,245
YBR059C,id004,three_prime_UTR,chrII:356762-356861,-,none,chrII,356762,356861,99
YBR060C,id002,three_prime_UTR,chrII:360589-360652,-,none,chrII,360589,360652,63
YBR061C,id003,three_prime_UTR,chrII:364175-364787,-,none,chrII,364175,364787,612
YBR062C,id003,three_prime_UTR,chrII:365896-365976,-,none,chrII,365896,365976,80
YBR063C,id003,three_prime_UTR,chrII:366919-366970,-,none,chrII,366919,366970,51
YBR065C,id002,three_prime_UTR,chrII:368207-368584,-,none,chrII,368207,368584,377
YBR066C,id002,three_prime_UTR,chrII:369938-370037,-,none,chrII,369938,370037,99
YBR067C,id002,three_prime_UTR,chrII:371966-372103,-,none,chrII,371966,372103,137
YBR068C,id001,three_prime_UTR,chrII:373669-373861,-,none,chrII,373669,373861,192
YBR069C,id006,three_prime_UTR,chrII:376414-376574,-,none,chrII,376414,376574,160
YBR070C,id002,three_prime_UTR,chrII:379101-379221,-,none,chrII,379101,379221,120
YBR071W,id002,three_prime_UTR,chrII:381046-381316,+,none,chrII,381046,381316,270
YBR072W,id002,three_prime_UTR,chrII:382674-382837,+,none,chrII,382674,382837,163
YBR074W,id002,three_prime_UTR,chrII:389216-389278,+,none,chrII,389216,389278,62
YBR076C-A,id011,three_prime_UTR,chrII:391174-391351,-,none,chrII,391174,391351,177
YBR077C,id001,three_prime_UTR,chrII:391588-391805,-,none,chrII,391588,391805,217
YBR078W,id001,three_prime_UTR,chrII:394742-395325,+,none,chrII,394742,395325,583
YBR079C,id003,three_prime_UTR,chrII:395231-395383,-,none,chrII,395231,395383,152
YBR080C,id002,three_prime_UTR,chrII:398464-398614,-,none,chrII,398464,398614,150
YBR082C,id001,three_prime_UTR,chrII:406101-406628,-,none,chrII,406101,406628,527
YBR083W,id002,three_prime_UTR,chrII:410629-410708,+,none,chrII,410629,410708,79
YBR084C-A,id001,three_prime_UTR,chrII:414132-414186,-,none,chrII,414132,414186,54
YBR084W,id002,three_prime_UTR,chrII:413981-414180,+,none,chrII,413981,414180,199
YBR085C-A,id004,three_prime_UTR,chrII:418532-418907,-,none,chrII,418532,418907,375
YBR085W,id001,three_prime_UTR,chrII:416906-417068,+,none,chrII,416906,417068,162
YBR086C,id001,three_prime_UTR,chrII:420076-420201,-,none,chrII,420076,420201,125
YBR087W,id001,three_prime_UTR,chrII:424829-424879,+,none,chrII,424829,424879,50
YBR088C,id001,three_prime_UTR,chrII:424794-424990,-,none,chrII,424794,424990,196
YBR089C-A,id002,three_prime_UTR,chrII:425997-426190,-,none,chrII,425997,426190,193
YBR089W,id002,three_prime_UTR,chrII:425782-425941,+,none,chrII,425782,425941,159
YBR091C,id004,three_prime_UTR,chrII:427033-427155,-,none,chrII,427033,427155,122
YBR092C,id002,three_prime_UTR,chrII:427657-427698,-,none,chrII,427657,427698,41
YBR093C,id002,three_prime_UTR,chrII:429492-429548,-,none,chrII,429492,429548,56
YBR094W,id003,three_prime_UTR,chrII:434297-434402,+,none,chrII,434297,434402,105
YBR095C,id001,three_prime_UTR,chrII:434314-434406,-,none,chrII,434314,434406,92
YBR096W,id002,three_prime_UTR,chrII:436713-436876,+,none,chrII,436713,436876,163
YBR098W,id002,three_prime_UTR,chrII:443590-443742,+,none,chrII,443590,443742,152
YBR099C,id001,three_prime_UTR,chrII:442855-442924,-,none,chrII,442855,442924,69
YBR101C,id003,three_prime_UTR,chrII:442980-443821,-,none,chrII,442980,443821,841
YBR102C,id003,three_prime_UTR,chrII:444928-445062,-,none,chrII,444928,445062,134
YBR103C-A,id001,three_prime_UTR,chrII:449250-449320,-,none,chrII,449250,449320,70
YBR103W,id002,three_prime_UTR,chrII:449316-449364,+,none,chrII,449316,449364,48
YBR104W,id002,three_prime_UTR,chrII:450656-451125,+,none,chrII,450656,451125,469
YBR105C,id002,three_prime_UTR,chrII:450721-450881,-,none,chrII,450721,450881,160
YBR106W,id003,three_prime_UTR,chrII:453224-453825,+,none,chrII,453224,453825,601
YBR107C,id005,three_prime_UTR,chrII:453227-453793,-,none,chrII,453227,453793,566
YBR108W,id003,three_prime_UTR,chrII:457665-457845,+,none,chrII,457665,457845,180
YBR109C,id001,three_prime_UTR,chrII:457737-457919,-,none,chrII,457737,457919,182
YBR109W-A,id002,three_prime_UTR,chrII:458832-459155,+,none,chrII,458832,459155,323
YBR110W,id002,three_prime_UTR,chrII:460221-460329,+,none,chrII,460221,460329,108
YBR111C,id001,three_prime_UTR,chrII:461107-461178,-,none,chrII,461107,461178,71
YBR111W-A,id005,three_prime_UTR,chrII:462579-462757,+,none,chrII,462579,462757,178
YBR112C,id002,three_prime_UTR,chrII:462653-462870,-,none,chrII,462653,462870,217
YBR114W,id001,three_prime_UTR,chrII:469620-469674,+,none,chrII,469620,469674,54
YBR115C,id001,three_prime_UTR,chrII:469611-469748,-,none,chrII,469611,469748,137
YBR118W,id001,three_prime_UTR,chrII:479047-479131,+,none,chrII,479047,479131,84
YBR119W,id003,three_prime_UTR,chrII:480323-480443,+,none,chrII,480323,480443,120
YBR120C,id001,three_prime_UTR,chrII:480191-480435,-,none,chrII,480191,480435,244
YBR121C,id001,three_prime_UTR,chrII:481250-481364,-,none,chrII,481250,481364,114
YBR121C-A,id002,three_prime_UTR,chrII:481250-482326,-,none,chrII,481250,482326,1076
YBR122C,id001,three_prime_UTR,chrII:483806-483970,-,none,chrII,483806,483970,164
YBR123C,id001,three_prime_UTR,chrII:484693-484742,-,none,chrII,484693,484742,49
YBR125C,id001,three_prime_UTR,chrII:487061-487199,-,none,chrII,487061,487199,138
YBR126C,id004,three_prime_UTR,chrII:488788-488905,-,none,chrII,488788,488905,117
YBR126W-B,id002,three_prime_UTR,chrII:491070-491228,+,none,chrII,491070,491228,158
YBR127C,id002,three_prime_UTR,chrII:491103-491269,-,none,chrII,491103,491269,166
YBR128C,id002,three_prime_UTR,chrII:493007-493081,-,none,chrII,493007,493081,74
YBR129C,id006,three_prime_UTR,chrII:494218-494353,-,none,chrII,494218,494353,135
YBR130C,id002,three_prime_UTR,chrII:495479-495592,-,none,chrII,495479,495592,113
YBR131W,id002,three_prime_UTR,chrII:499277-499356,+,none,chrII,499277,499356,79
YBR132C,id002,three_prime_UTR,chrII:499349-499652,-,none,chrII,499349,499652,303
YBR133C,id006,three_prime_UTR,chrII:501663-501804,-,none,chrII,501663,501804,141
YBR135W,id001,three_prime_UTR,chrII:505306-505412,+,none,chrII,505306,505412,106
YBR137W,id004,three_prime_UTR,chrII:513583-513801,+,none,chrII,513583,513801,218
YBR138C,id001,three_prime_UTR,chrII:513577-513762,-,none,chrII,513577,513762,185
YBR139W,id004,three_prime_UTR,chrII:517190-517400,+,none,chrII,517190,517400,210
YBR141C,id003,three_prime_UTR,chrII:526857-527025,-,none,chrII,526857,527025,168
YBR141W-A,id001,three_prime_UTR,chrII:527262-527723,+,none,chrII,527262,527723,461
YBR142W,id003,three_prime_UTR,chrII:530638-530843,+,none,chrII,530638,530843,205
YBR143C,id002,three_prime_UTR,chrII:530665-530869,-,none,chrII,530665,530869,204
YBR145W,id004,three_prime_UTR,chrII:534817-534917,+,none,chrII,534817,534917,100
YBR146W,id002,three_prime_UTR,chrII:536096-536506,+,none,chrII,536096,536506,410
YBR147W,id003,three_prime_UTR,chrII:537465-537511,+,none,chrII,537465,537511,46
YBR149W,id001,three_prime_UTR,chrII:541021-541283,+,none,chrII,541021,541283,262
YBR151W,id003,three_prime_UTR,chrII:545978-546206,+,none,chrII,545978,546206,228
YBR153W,id001,three_prime_UTR,chrII:548194-548363,+,none,chrII,548194,548363,169
YBR154C,id002,three_prime_UTR,chrII:548266-548362,-,none,chrII,548266,548362,96
YBR155W,id001,three_prime_UTR,chrII:550928-551018,+,none,chrII,550928,551018,90
YBR156C,id002,three_prime_UTR,chrII:550927-551104,-,none,chrII,550927,551104,177
YBR157C,id002,three_prime_UTR,chrII:553531-553543,-,none,chrII,553531,553543,12
YBR158W,id001,three_prime_UTR,chrII:558198-558350,+,none,chrII,558198,558350,152
YBR159W,id002,three_prime_UTR,chrII:559728-559892,+,none,chrII,559728,559892,164
