gene_name,gene_id,feature_type,range,strand,repeat_mask,chromosome,start,end,feature_length
YAL054C,id001,three_prime_UTR,chrI:42713-42881,-,none,chrI,42713,42881,168
YAL055W,id001,three_prime_UTR,chrI:42719-42884,+,none,chrI,42719,42884,165
YAL056W,id006,three_prime_UTR,chrI:41901-42040,+,none,chrI,41901,42040,139
YAL058W,id003,three_prime_UTR,chrI:38972-39163,+,none,chrI,38972,39163,191
YAL059W,id002,three_prime_UTR,chrI:37147-37344,+,none,chrI,37147,37344,197
YAL060W,id014,three_prime_UTR,chrI:36303-36433,+,none,chrI,36303,36433,130
YAL061W,id001,three_prime_UTR,chrI:34701-35113,+,none,chrI,34701,35113,412
YAL062W,id001,three_prime_UTR,chrI:32940-33039,+,none,chrI,32940,33039,99
YAL063C-A,id001,three_prime_UTR,chrI:22051-22395,-,none,chrI,22051,22395,344
YAL064W-B,id001,three_prime_UTR,chrI:12426-15151,+,none,chrI,12426,15151,2725
YAL066W,id001,three_prime_UTR,chrI:10399-10460,+,none,chrI,10399,10460,61
YAL067C,id001,three_prime_UTR,chrI:7013-7235,-,none,chrI,7013,7235,222
YAR002C-A,id001,three_prime_UTR,chrI:153765-154065,-,none,chrI,153765,154065,300
YAR002W,id001,three_prime_UTR,chrI:153876-154114,+,none,chrI,153876,154114,238
YAR003W,id001,three_prime_UTR,chrI:156285-156909,+,none,chrI,156285,156909,624
YAR007C,id001,three_prime_UTR,chrI:156681-156754,-,none,chrI,156681,156754,73
YAR008W,id001,three_prime_UTR,chrI:159793-159972,+,none,chrI,159793,159972,179
YAR014C,id001,three_prime_UTR,chrI:166565-166742,-,none,chrI,166565,166742,177
YAR015W,id001,three_prime_UTR,chrI:170295-172008,+,none,chrI,170295,172008,1713
YAR018C,id002,three_prime_UTR,chrI:170177-170396,-,none,chrI,170177,170396,219
YAR019C,id001,three_prime_UTR,chrI:172126-172211,-,none,chrI,172126,172211,85
YAR023C,id002,three_prime_UTR,chrI:179099-179281,-,none,chrI,179099,179281,182
YAR027W,id001,three_prime_UTR,chrI:184477-184687,+,none,chrI,184477,184687,210
YAR028W,id001,three_prime_UTR,chrI:185596-185977,+,none,chrI,185596,185977,381
YAR029W,id003,three_prime_UTR,chrI:186545-186754,+,none,chrI,186545,186754,209
YAR030C,id001,three_prime_UTR,chrI:186033-186512,-,none,chrI,186033,186512,479
YAR033W,id001,three_prime_UTR,chrI:188811-189258,+,none,chrI,188811,189258,447
YAR035W,id001,three_prime_UTR,chrI:192256-192365,+,none,chrI,192256,192365,109
YAR042W,id001,three_prime_UTR,chrI:196185-196349,+,none,chrI,196185,196349,164
YAR053W,id001,three_prime_UTR,chrI:208663-209632,+,none,chrI,208663,209632,969
YBL001C,id001,three_prime_UTR,chrII:236907-237153,-,none,chrII,236907,237153,246
YBL002W,id009,three_prime_UTR,chrII:236887-237188,+,none,chrII,236887,237188,301
YBL003C,id004,three_prime_UTR,chrII:234898-235394,-,none,chrII,234898,235394,496
YBL005W,id001,three_prime_UTR,chrII:220400-220685,+,none,chrII,220400,220685,285
YBL006C,id002,three_prime_UTR,chrII:216354-216587,-,none,chrII,216354,216587,233
YBL006W-A,id001,three_prime_UTR,chrII:216860-217416,+,none,chrII,216860,217416,556
YBL007C,id001,three_prime_UTR,chrII:212467-212632,-,none,chrII,212467,212632,165
YBL008W,id002,three_prime_UTR,chrII:212175-212279,+,none,chrII,212175,212279,104
YBL009W,id001,three_prime_UTR,chrII:209224-209372,+,none,chrII,209224,209372,148
YBL010C,id003,three_prime_UTR,chrII:205798-206107,-,none,chrII,205798,206107,309
YBL011W,id002,three_prime_UTR,chrII:205817-206022,+,none,chrII,205817,206022,205
YBL014C,id001,three_prime_UTR,chrII:198825-199064,-,none,chrII,198825,199064,239
YBL015W,id002,three_prime_UTR,chrII:195702-195984,+,none,chrII,195702,195984,282
YBL016W,id001,three_prime_UTR,chrII:193512-193647,+,none,chrII,193512,193647,135
YBL018C,id001,three_prime_UTR,chrII:185253-185998,-,none,chrII,185253,185998,745
YBL019W,id001,three_prime_UTR,chrII:185915-186031,+,none,chrII,185915,186031,116
YBL020W,id005,three_prime_UTR,chrII:184125-184205,+,none,chrII,184125,184205,80
YBL021C,id001,three_prime_UTR,chrII:181490-181660,-,none,chrII,181490,181660,170
YBL022C,id001,three_prime_UTR,chrII:177798-177874,-,none,chrII,177798,177874,76
YBL023C,id001,three_prime_UTR,chrII:174746-174920,-,none,chrII,174746,174920,174
YBL024W,id001,three_prime_UTR,chrII:174588-174868,+,none,chrII,174588,174868,280
YBL025W,id002,three_prime_UTR,chrII:171918-172503,+,none,chrII,171918,172503,585
YBL026W,id001,three_prime_UTR,chrII:171038-171530,+,none,chrII,171038,171530,492
YBL027W,id001,three_prime_UTR,chrII:169376-169839,+,none,chrII,169376,169839,463
YBL028C,id001,three_prime_UTR,chrII:167221-167518,-,none,chrII,167221,167518,297
YBL029C-A,id001,three_prime_UTR,chrII:164358-164488,-,none,chrII,164358,164488,130
YBL030C,id001,three_prime_UTR,chrII:162683-163041,-,none,chrII,162683,163041,358
YBL031W,id001,three_prime_UTR,chrII:162715-162887,+,none,chrII,162715,162887,172
YBL032W,id001,three_prime_UTR,chrII:161329-161542,+,none,chrII,161329,161542,213
YBL033C,id001,three_prime_UTR,chrII:158483-158656,-,none,chrII,158483,158656,173
YBL035C,id001,three_prime_UTR,chrII:151364-151493,-,none,chrII,151364,151493,129
YBL036C,id002,three_prime_UTR,chrII:150307-150447,-,none,chrII,150307,150447,140
YBL038W,id001,three_prime_UTR,chrII:146885-147061,+,none,chrII,146885,147061,176
YBL039C,id001,three_prime_UTR,chrII:143726-143989,-,none,chrII,143726,143989,263
YBL039C-A,id002,three_prime_UTR,chrII:143805-144948,-,none,chrII,143805,144948,1143
YBL039W-B,id001,three_prime_UTR,chrII:143572-143749,+,none,chrII,143572,143749,177
YBL040C,id001,three_prime_UTR,chrII:141955-142112,-,none,chrII,141955,142112,157
YBL041W,id015,three_prime_UTR,chrII:141972-142040,+,none,chrII,141972,142040,68
YBL042C,id001,three_prime_UTR,chrII:138150-138341,-,none,chrII,138150,138341,191
YBL043W,id003,three_prime_UTR,chrII:137461-137655,+,none,chrII,137461,137655,194
YBL045C,id001,three_prime_UTR,chrII:133824-134143,-,none,chrII,133824,134143,319
YBL046W,id001,three_prime_UTR,chrII:133749-133937,+,none,chrII,133749,133937,188
YBL047C,id001,three_prime_UTR,chrII:127672-127895,-,none,chrII,127672,127895,223
YBL049W,id001,three_prime_UTR,chrII:127244-127508,+,none,chrII,127244,127508,264
YBL050W,id001,three_prime_UTR,chrII:126119-126230,+,none,chrII,126119,126230,111
YBL051C,id004,three_prime_UTR,chrII:122304-122753,-,none,chrII,122304,122753,449
YBL052C,id001,three_prime_UTR,chrII:119308-119379,-,none,chrII,119308,119379,71
YBL054W,id002,three_prime_UTR,chrII:119166-119359,+,none,chrII,119166,119359,193
YBL055C,id001,three_prime_UTR,chrII:115477-115573,-,none,chrII,115477,115573,96
YBL056W,id003,three_prime_UTR,chrII:115168-115581,+,none,chrII,115168,115581,413
YBL057C,id001,three_prime_UTR,chrII:112277-112801,-,none,chrII,112277,112801,524
YBL058W,id001,three_prime_UTR,chrII:112708-112864,+,none,chrII,112708,112864,156
YBL059C-A,id001,three_prime_UTR,chrII:108799-110125,-,none,chrII,108799,110125,1326
YBL060W,id004,three_prime_UTR,chrII:109995-110033,+,none,chrII,109995,110033,38
YBL061C,id001,three_prime_UTR,chrII:105195-105316,-,none,chrII,105195,105316,121
YBL064C,id002,three_prime_UTR,chrII:100299-100371,-,none,chrII,100299,100371,72
YBL068W,id001,three_prime_UTR,chrII:93394-93912,+,none,chrII,93394,93912,518
YBL068W-A,id002,three_prime_UTR,chrII:92030-92228,+,none,chrII,92030,92228,198
YBL069W,id001,three_prime_UTR,chrII:92030-92191,+,none,chrII,92030,92191,161
YBL071C,id001,three_prime_UTR,chrII:89856-90223,-,none,chrII,89856,90223,367
YBL071W-A,id001,three_prime_UTR,chrII:90226-90746,+,none,chrII,90226,90746,520
YBL072C,id001,three_prime_UTR,chrII:88246-88523,-,none,chrII,88246,88523,277
YBL074C,id001,three_prime_UTR,chrII:86433-86722,-,none,chrII,86433,86722,289
YBL075C,id001,three_prime_UTR,chrII:84418-84499,-,none,chrII,84418,84499,81
YBL076C,id001,three_prime_UTR,chrII:80935-81043,-,none,chrII,80935,81043,108
YBL078C,id001,three_prime_UTR,chrII:79873-80378,-,none,chrII,79873,80378,505
YBL080C,id002,three_prime_UTR,chrII:72944-73070,-,none,chrII,72944,73070,126
YBL081W,id002,three_prime_UTR,chrII:72972-73109,+,none,chrII,72972,73109,137
YBL082C,id001,three_prime_UTR,chrII:69715-69751,-,none,chrII,69715,69751,36
YBL083C,id002,three_prime_UTR,chrII:69658-69713,-,none,chrII,69658,69713,55
YBL085W,id001,three_prime_UTR,chrII:66818-66938,+,none,chrII,66818,66938,120
YBL086C,id001,three_prime_UTR,chrII:61142-61202,-,none,chrII,61142,61202,60
YBL087C,id001,three_prime_UTR,chrII:59593-59822,-,none,chrII,59593,59822,229
YBL089W,id001,three_prime_UTR,chrII:50953-51278,+,none,chrII,50953,51278,325
YBL090W,id001,three_prime_UTR,chrII:49358-49634,+,none,chrII,49358,49634,276
YBL091C,id001,three_prime_UTR,chrII:47010-47363,-,none,chrII,47010,47363,353
YBL091C-A,id001,three_prime_UTR,chrII:46322-46565,-,none,chrII,46322,46565,243
YBL092W,id002,three_prime_UTR,chrII:46370-46517,+,none,chrII,46370,46517,147
YBL093C,id002,three_prime_UTR,chrII:43818-44256,-,none,chrII,43818,44256,438
YBL095W,id003,three_prime_UTR,chrII:44089-44341,+,none,chrII,44089,44341,252
YBL096C,id001,three_prime_UTR,chrII:43132-43174,-,none,chrII,43132,43174,42
YBL099W,id001,three_prime_UTR,chrII:38690-39100,+,none,chrII,38690,39100,410
YBL100W-C,id001,three_prime_UTR,chrII:28546-29119,+,none,chrII,28546,29119,573
YBL101C,id001,three_prime_UTR,chrII:24777-24946,-,none,chrII,24777,24946,169
YBL102W,id002,three_prime_UTR,chrII:24745-24968,+,none,chrII,24745,24968,223
YBL103C,id001,three_prime_UTR,chrII:21573-22076,-,none,chrII,21573,22076,503
YBL104C,id001,three_prime_UTR,chrII:18076-18177,-,none,chrII,18076,18177,101
YBL105C,id001,three_prime_UTR,chrII:14104-14241,-,none,chrII,14104,14241,137
YBL107C,id001,three_prime_UTR,chrII:9730-9961,-,none,chrII,9730,9961,231
YBR001C,id001,three_prime_UTR,chrII:238710-238941,-,none,chrII,238710,238941,231
YBR002C,id001,three_prime_UTR,chrII:241428-241708,-,none,chrII,241428,241708,280
YBR003W,id007,three_prime_UTR,chrII:244230-244364,+,none,chrII,244230,244364,134
YBR004C,id001,three_prime_UTR,chrII:244272-244366,-,none,chrII,244272,244366,94
YBR005W,id004,three_prime_UTR,chrII:246547-246920,+,none,chrII,246547,246920,373
YBR006W,id002,three_prime_UTR,chrII:248503-248649,+,none,chrII,248503,248649,146
YBR007C,id001,three_prime_UTR,chrII:248623-248806,-,none,chrII,248623,248806,183
YBR008C,id001,three_prime_UTR,chrII:252403-252563,-,none,chrII,252403,252563,160
YBR009C,id001,three_prime_UTR,chrII:255025-255373,-,none,chrII,255025,255373,348
YBR010W,id001,three_prime_UTR,chrII:256741-257098,+,none,chrII,256741,257098,357
YBR011C,id001,three_prime_UTR,chrII:256887-257112,-,none,chrII,256887,257112,225
YBR012C,id001,three_prime_UTR,chrII:258941-259147,-,none,chrII,258941,259147,206
YBR014C,id001,three_prime_UTR,chrII:266417-266725,-,none,chrII,266417,266725,308
YBR015C,id001,three_prime_UTR,chrII:267568-267710,-,none,chrII,267568,267710,142
YBR016W,id001,three_prime_UTR,chrII:270633-270846,+,none,chrII,270633,270846,213
YBR017C,id002,three_prime_UTR,chrII:270760-270947,-,none,chrII,270760,270947,187
YBR018C,id001,three_prime_UTR,chrII:274272-274427,-,none,chrII,274272,274427,155
YBR019C,id001,three_prime_UTR,chrII:275804-276253,-,none,chrII,275804,276253,449
YBR020W,id001,three_prime_UTR,chrII:280607-281395,+,none,chrII,280607,281395,788
YBR021W,id011,three_prime_UTR,chrII:283344-283531,+,none,chrII,283344,283531,187
YBR022W,id001,three_prime_UTR,chrII:284271-284429,+,none,chrII,284271,284429,158
YBR023C,id001,three_prime_UTR,chrII:284226-284428,-,none,chrII,284226,284428,202
YBR024W,id001,three_prime_UTR,chrII:290350-291278,+,none,chrII,290350,291278,928
YBR025C,id001,three_prime_UTR,chrII:289931-290681,-,none,chrII,289931,290681,750
YBR026C,id001,three_prime_UTR,chrII:292409-292877,-,none,chrII,292409,292877,468
YBR028C,id001,three_prime_UTR,chrII:294249-294425,-,none,chrII,294249,294425,176
YBR029C,id003,three_prime_UTR,chrII:296227-296369,-,none,chrII,296227,296369,142
YBR030W,id001,three_prime_UTR,chrII:299950-300071,+,none,chrII,299950,300071,121
YBR031W,id001,three_prime_UTR,chrII:301254-301451,+,none,chrII,301254,301451,197
YBR032W,id001,three_prime_UTR,chrII:301821-301948,+,none,chrII,301821,301948,127
YBR033W,id001,three_prime_UTR,chrII:304703-304792,+,none,chrII,304703,304792,89
YBR034C,id001,three_prime_UTR,chrII:304383-304930,-,none,chrII,304383,304930,547
YBR035C,id003,three_prime_UTR,chrII:306108-306269,-,none,chrII,306108,306269,161
YBR036C,id001,three_prime_UTR,chrII:308745-309081,-,none,chrII,308745,309081,336
YBR037C,id001,three_prime_UTR,chrII:310414-310565,-,none,chrII,310414,310565,151
YBR038W,id003,three_prime_UTR,chrII:314789-314979,+,none,chrII,314789,314979,190
YBR039W,id001,three_prime_UTR,chrII:316510-316949,+,none,chrII,316510,316949,439
YBR041W,id003,three_prime_UTR,chrII:320275-320450,+,none,chrII,320275,320450,175
YBR042C,id002,three_prime_UTR,chrII:320279-320416,-,none,chrII,320279,320416,137
YBR043C,id001,three_prime_UTR,chrII:321721-321876,-,none,chrII,321721,321876,155
YBR044C,id001,three_prime_UTR,chrII:324265-324341,-,none,chrII,324265,324341,76
YBR046C,id001,three_prime_UTR,chrII:330073-330507,-,none,chrII,330073,330507,434
YBR047W,id001,three_prime_UTR,chrII:332360-332494,+,none,chrII,332360,332494,134
YBR048W,id001,three_prime_UTR,chrII:333812-334340,+,none,chrII,333812,334340,528
YBR049C,id001,three_prime_UTR,chrII:333943-334386,-,none,chrII,333943,334386,443
YBR050C,id001,three_prime_UTR,chrII:337145-337183,-,none,chrII,337145,337183,38
YBR052C,id001,three_prime_UTR,chrII:338434-338720,-,none,chrII,338434,338720,286
YBR053C,id001,three_prime_UTR,chrII:339332-339675,-,none,chrII,339332,339675,343
YBR054W,id001,three_prime_UTR,chrII:344135-344584,+,none,chrII,344135,344584,449
YBR055C,id001,three_prime_UTR,chrII:344489-344602,-,none,chrII,344489,344602,113
YBR056C-B,id001,three_prime_UTR,chrII:351178-351293,-,none,chrII,351178,351293,115
YBR056W,id001,three_prime_UTR,chrII:349384-349667,+,none,chrII,349384,349667,283
YBR056W-A,id001,three_prime_UTR,chrII:351455-352042,+,none,chrII,351455,352042,587
YBR057C,id001,three_prime_UTR,chrII:352055-352193,-,none,chrII,352055,352193,138
YBR058C,id001,three_prime_UTR,chrII:352423-353672,-,none,chrII,352423,353672,1249
YBR058C-A,id001,three_prime_UTR,chrII:355883-356324,-,none,chrII,355883,356324,441
YBR059C,id001,three_prime_UTR,chrII:356751-356861,-,none,chrII,356751,356861,110
YBR060C,id001,three_prime_UTR,chrII:360589-360652,-,none,chrII,360589,360652,63
YBR061C,id001,three_prime_UTR,chrII:363589-364787,-,none,chrII,363589,364787,1198
YBR062C,id001,three_prime_UTR,chrII:365872-365976,-,none,chrII,365872,365976,104
YBR063C,id001,three_prime_UTR,chrII:366913-366970,-,none,chrII,366913,366970,57
YBR065C,id001,three_prime_UTR,chrII:367999-368584,-,none,chrII,367999,368584,585
YBR066C,id001,three_prime_UTR,chrII:369932-370037,-,none,chrII,369932,370037,105
YBR067C,id001,three_prime_UTR,chrII:371965-372103,-,none,chrII,371965,372103,138
YBR068C,id002,three_prime_UTR,chrII:373642-373861,-,none,chrII,373642,373861,219
YBR069C,id001,three_prime_UTR,chrII:375848-376574,-,none,chrII,375848,376574,726
YBR070C,id001,three_prime_UTR,chrII:378986-379221,-,none,chrII,378986,379221,235
YBR071W,id001,three_prime_UTR,chrII:381046-381322,+,none,chrII,381046,381322,276
YBR072W,id001,three_prime_UTR,chrII:382674-382838,+,none,chrII,382674,382838,164
YBR074W,id001,three_prime_UTR,chrII:389216-389331,+,none,chrII,389216,389331,115
YBR076C-A,id001,three_prime_UTR,chrII:390129-391351,-,none,chrII,390129,391351,1222
YBR077C,id002,three_prime_UTR,chrII:391576-391805,-,none,chrII,391576,391805,229
YBR078W,id003,three_prime_UTR,chrII:394742-395384,+,none,chrII,394742,395384,642
YBR079C,id001,three_prime_UTR,chrII:395215-395383,-,none,chrII,395215,395383,168
YBR080C,id001,three_prime_UTR,chrII:398442-398614,-,none,chrII,398442,398614,172
YBR082C,id001,three_prime_UTR,chrII:406101-406628,-,none,chrII,406101,406628,527
YBR083W,id001,three_prime_UTR,chrII:410629-410718,+,none,chrII,410629,410718,89
YBR084C-A,id004,three_prime_UTR,chrII:414063-414186,-,none,chrII,414063,414186,123
YBR084W,id001,three_prime_UTR,chrII:413981-414197,+,none,chrII,413981,414197,216
YBR085C-A,id001,three_prime_UTR,chrII:418530-418907,-,none,chrII,418530,418907,377
YBR085W,id011,three_prime_UTR,chrII:416906-417145,+,none,chrII,416906,417145,239
YBR086C,id002,three_prime_UTR,chrII:420069-420201,-,none,chrII,420069,420201,132
YBR087W,id003,three_prime_UTR,chrII:424829-424945,+,none,chrII,424829,424945,116
YBR088C,id002,three_prime_UTR,chrII:424790-424990,-,none,chrII,424790,424990,200
YBR089C-A,id001,three_prime_UTR,chrII:425946-426190,-,none,chrII,425946,426190,244
YBR089W,id001,three_prime_UTR,chrII:425782-426037,+,none,chrII,425782,426037,255
YBR091C,id001,three_prime_UTR,chrII:426969-427155,-,none,chrII,426969,427155,186
YBR092C,id001,three_prime_UTR,chrII:427647-427698,-,none,chrII,427647,427698,51
YBR093C,id001,three_prime_UTR,chrII:429492-429548,-,none,chrII,429492,429548,56
YBR094W,id001,three_prime_UTR,chrII:434297-434419,+,none,chrII,434297,434419,122
YBR095C,id001,three_prime_UTR,chrII:434314-434406,-,none,chrII,434314,434406,92
YBR096W,id001,three_prime_UTR,chrII:436713-437032,+,none,chrII,436713,437032,319
YBR098W,id001,three_prime_UTR,chrII:443590-444250,+,none,chrII,443590,444250,660
YBR099C,id001,three_prime_UTR,chrII:442855-442924,-,none,chrII,442855,442924,69
YBR101C,id001,three_prime_UTR,chrII:442933-443821,-,none,chrII,442933,443821,888
YBR102C,id001,three_prime_UTR,chrII:444892-445062,-,none,chrII,444892,445062,170
YBR103C-A,id001,three_prime_UTR,chrII:449250-449320,-,none,chrII,449250,449320,70
YBR103W,id001,three_prime_UTR,chrII:449316-449378,+,none,chrII,449316,449378,62
YBR104W,id001,three_prime_UTR,chrII:450656-451132,+,none,chrII,450656,451132,476
YBR105C,id001,three_prime_UTR,chrII:450711-450881,-,none,chrII,450711,450881,170
YBR106W,id001,three_prime_UTR,chrII:453224-454786,+,none,chrII,453224,454786,1562
YBR107C,id001,three_prime_UTR,chrII:453227-453793,-,none,chrII,453227,453793,566
YBR108W,id001,three_prime_UTR,chrII:457665-457862,+,none,chrII,457665,457862,197
YBR109C,id006,three_prime_UTR,chrII:457579-457919,-,none,chrII,457579,457919,340
YBR109W-A,id002,three_prime_UTR,chrII:458832-459155,+,none,chrII,458832,459155,323
YBR110W,id001,three_prime_UTR,chrII:460221-460347,+,none,chrII,460221,460347,126
YBR111C,id001,three_prime_UTR,chrII:461107-461178,-,none,chrII,461107,461178,71
YBR111W-A,id001,three_prime_UTR,chrII:462579-462761,+,none,chrII,462579,462761,182
YBR112C,id001,three_prime_UTR,chrII:462616-462870,-,none,chrII,462616,462870,254
YBR114W,id002,three_prime_UTR,chrII:469620-469792,+,none,chrII,469620,469792,172
YBR115C,id001,three_prime_UTR,chrII:469611-469748,-,none,chrII,469611,469748,137
YBR118W,id002,three_prime_UTR,chrII:479047-479148,+,none,chrII,479047,479148,101
YBR119W,id001,three_prime_UTR,chrII:480323-480588,+,none,chrII,480323,480588,265
YBR120C,id002,three_prime_UTR,chrII:480181-480435,-,none,chrII,480181,480435,254
YBR121C,id001,three_prime_UTR,chrII:481250-481364,-,none,chrII,481250,481364,114
YBR121C-A,id001,three_prime_UTR,chrII:481242-482326,-,none,chrII,481242,482326,1084
YBR122C,id004,three_prime_UTR,chrII:483768-483970,-,none,chrII,483768,483970,202
YBR123C,id002,three_prime_UTR,chrII:484670-484742,-,none,chrII,484670,484742,72
YBR125C,id001,three_prime_UTR,chrII:487061-487199,-,none,chrII,487061,487199,138
YBR126C,id001,three_prime_UTR,chrII:488770-488905,-,none,chrII,488770,488905,135
YBR126W-B,id001,three_prime_UTR,chrII:491070-491294,+,none,chrII,491070,491294,224
YBR127C,id001,three_prime_UTR,chrII:490982-491269,-,none,chrII,490982,491269,287
YBR128C,id001,three_prime_UTR,chrII:492989-493081,-,none,chrII,492989,493081,92
YBR129C,id001,three_prime_UTR,chrII:494193-494353,-,none,chrII,494193,494353,160
YBR130C,id001,three_prime_UTR,chrII:495479-495592,-,none,chrII,495479,495592,113
YBR131W,id001,three_prime_UTR,chrII:499277-499503,+,none,chrII,499277,499503,226
YBR132C,id001,three_prime_UTR,chrII:499349-499652,-,none,chrII,499349,499652,303
YBR133C,id001,three_prime_UTR,chrII:501498-501804,-,none,chrII,501498,501804,306
YBR135W,id002,three_prime_UTR,chrII:505306-505580,+,none,chrII,505306,505580,274
YBR137W,id001,three_prime_UTR,chrII:513583-513832,+,none,chrII,513583,513832,249
YBR138C,id001,three_prime_UTR,chrII:513577-513762,-,none,chrII,513577,513762,185
YBR139W,id001,three_prime_UTR,chrII:517190-517508,+,none,chrII,517190,517508,318
YBR141C,id001,three_prime_UTR,chrII:526823-527025,-,none,chrII,526823,527025,202
YBR141W-A,id002,three_prime_UTR,chrII:527262-527854,+,none,chrII,527262,527854,592
YBR142W,id001,three_prime_UTR,chrII:530638-530852,+,none,chrII,530638,530852,214
YBR143C,id001,three_prime_UTR,chrII:530579-530869,-,none,chrII,530579,530869,290
YBR145W,id001,three_prime_UTR,chrII:534817-535122,+,none,chrII,534817,535122,305
YBR146W,id001,three_prime_UTR,chrII:536096-536563,+,none,chrII,536096,536563,467
YBR147W,id001,three_prime_UTR,chrII:537465-537883,+,none,chrII,537465,537883,418
YBR149W,id004,three_prime_UTR,chrII:541021-541302,+,none,chrII,541021,541302,281
YBR151W,id001,three_prime_UTR,chrII:545978-546292,+,none,chrII,545978,546292,314
YBR153W,id004,three_prime_UTR,chrII:548194-548416,+,none,chrII,548194,548416,222
YBR154C,id001,three_prime_UTR,chrII:547941-548362,-,none,chrII,547941,548362,421
YBR155W,id007,three_prime_UTR,chrII:550928-551084,+,none,chrII,550928,551084,156
YBR156C,id001,three_prime_UTR,chrII:550925-551104,-,none,chrII,550925,551104,179
YBR157C,id001,three_prime_UTR,chrII:553414-553543,-,none,chrII,553414,553543,129
YBR158W,id003,three_prime_UTR,chrII:558198-558353,+,none,chrII,558198,558353,155
YBR159W,id001,three_prime_UTR,chrII:559728-559894,+,none,chrII,559728,559894,166
